0,icao_code,1,name_eng,2,city_eng,3,country_rus
OIZB,OIZB,Zabol A/P,Zabol A/P,Zabol,Zabol,Иран,Иран
LTAF,LTAF,Adana,Adana,Adana,Adana,Турция,Турция
LTBJ,LTBJ,Adnan Menderes,Adnan Menderes,Izmir,Izmir,Турция,Турция
KADC,KADC,Andakombe,Andakombe,Andakombe,Andakombe,Папуа - Новая Гвинея,Папуа - Новая Гвинея
HAAB,HAAB,Bole International,Bole International,Addis Ababa,Addis Ababa,Эфиопия,Эфиопия
OYAA,OYAA,International,International,Aden,Aden,Йемен,Йемен
LTCP,LTCP,Adiyaman,Adiyaman,Adiyaman,Adiyaman,Турция,Турция
KADG,KADG,Lenawee County,Lenawee County,Adrian,Adrian,США,США
UEEA,UEEA,Aldan,Aldan,Aldan,Aldan,Россия,Россия
FYAR,FYAR,Arandis,Arandis,Arandis,Arandis,Намибия,Намибия
OJAM,OJAM,Marka International Airport,Marka International Airport,Amman,Amman,Иордания,Иордания
PADK,PADK,Adak Island NS,Adak Island NS,Adak Island,Adak Island,США,США
YPAD,YPAD,Adelaide International Airport,Adelaide International Airport,Adelaide,Adelaide,Австралия,Австралия
KADM,KADM,Ardmore Municipal Arpt,Ardmore Municipal Arpt,Ardmore,Ardmore,США,США
SKAN,SKAN,Andes,Andes,Andes,Andes,Колумбия,Колумбия
YAMK,YAMK,Andamooka,Andamooka,Andamooka,Andamooka,Австралия,Австралия
VCCA,VCCA,Ampara,Ampara,Ampara,Ampara,Шри-Ланка,Шри-Ланка
PADQ,PADQ,Kodiak Airport,Kodiak Airport,Kodiak,Kodiak,США,США
KPHH,KPHH,Andrews,Andrews,Andrews,Andrews,США,США
KADS,KADS,Addison Airport,Addison Airport,Dallas,Dallas,США,США
KADH,KADH,Ada,Ada,Ada,Ada,США,США
OITL,OITL,Ardabil,Ardabil,Ardabil,Ardabil,Иран,Иран
EGWA,EGWA,Andover,Andover,Andover,Andover,Великобритания,Великобритания
KADW,KADW,Andrews AFB,Andrews AFB,Camp Springs,Camp Springs,США,США
EGQL,EGQL,Leuchars,Leuchars,St Andrews,St Andrews,Великобритания,Великобритания
FAAL,FAAL,Alldays,Alldays,Alldays,Alldays,ЮАР,ЮАР
SKSP,SKSP,San Andres Island,San Andres Island,San Andres Island,San Andres Island,Колумбия,Колумбия
NGTB,NGTB,Abemama Atoll,Abemama Atoll,Abemama Atoll,Abemama Atoll,Кирибати,Кирибати
KTDO,KTDO,Aleneva,Aleneva,Aleneva,Aleneva,США,США
WIME,WIME,Aek Godang,Aek Godang,Aek Godang,Aek Godang,Индонезия,Индонезия
FTTC,FTTC,Abecher,Abecher,Abecher,Abecher,Чад,Чад
OPKC,OPKC,Algeciras,Algeciras,Algeciras,Algeciras,Испания,Испания
,,Aseki,Aseki,Aseki,Aseki,Папуа - Новая Гвинея,Папуа - Новая Гвинея
KAEL,KAEL,Albert Lea,Albert Lea,Albert Lea,Albert Lea,США,США
GQNA,GQNA,Aioun El Atrouss,Aioun El Atrouss,Aioun El Atrouss,Aioun El Atrouss,Мавритания,Мавритания
SABE,SABE,Arpt. Jorge Newbery,Arpt. Jorge Newbery,Buenos Aires,Buenos Aires,Аргентина,Аргентина
URSS,URSS,Adler - Sochi,Adler - Sochi,Adler,Adler,Россия,Россия
ENAL,ENAL,Vigra,Vigra,Aalesund,Aalesund,Норвегия,Норвегия
PFAL,PFAL,Allakaket,Allakaket,Allakaket,Allakaket,США,США
OIBA,OIBA,Abu Musa,Abu Musa,Abu Musa,Abu Musa,Иран,Иран
KAEX,KAEX,Alexandria International,Alexandria International,Alexandria, LA,Alexandria, LA,США,США
BIAR,BIAR,Akureyri,Akureyri,Akureyri,Akureyri,Исландия,Исландия
SAMR,SAMR,San Rafael,San Rafael,San Rafael,San Rafael,Аргентина,Аргентина
FAPA,FAPA,Port Alfred,Port Alfred,Port Alfred,Port Alfred,ЮАР,ЮАР
KAFF,KAFF,USAF Academy Airstrip,USAF Academy Airstrip,Colorado Springs,Colorado Springs,США,США
SKAM,SKAM,Amalfi,Amalfi,Amalfi,Amalfi,Колумбия,Колумбия
KAFK,KAFK,Kondavattavan Tank,Kondavattavan Tank,Ampara,Ampara,Шри-Ланка,Шри-Ланка
SBAT,SBAT,Alta Floresta,Alta Floresta,Alta Floresta,Alta Floresta,Бразилия,Бразилия
KAFN,KAFN,Municipal,Municipal,Jaffrey,Jaffrey,США,США
