0,icao_code,1,name_eng,2,city_eng,3,country_rus
GFBN,GFBN,Bonthe,Bonthe,Bonthe,Bonthe,Сьерра-Леоне,Сьерра-Леоне
KBTF,KBTF,Salt Lake Skypark,Salt Lake Skypark,Bountiful,Bountiful,США,США
FEGF,FEGF,Batangafo,Batangafo,Batangafo,Batangafo,ЦАР,ЦАР
WIDD,WIDD,Hang Nadim,Hang Nadim,Batam,Batam,Индонезия,Индонезия
PABU,PABU,Barter Island,Barter Island,Barter Island,Barter Island,США,США
WITT,WITT,Sultan Lskandarmuda Airport,Sultan Lskandarmuda Airport,Banda Aceh,Banda Aceh,Индонезия,Индонезия
UIBB,UIBB,Bratsk,Bratsk,Bratsk,Bratsk,Россия,Россия
KBTL,KBTL,WK Kellogg Regional,WK Kellogg Regional,Battle Creek,Battle Creek,США,США
KBTM,KBTM,Bert Mooney Airport,Bert Mooney Airport,Butte, (MT),Butte, (MT),США,США
KBBP,KBBP,Bennettsville,Bennettsville,Bennettsville,Bennettsville,США,США
,,Botopasie,Botopasie,Botopasie,Botopasie,Суринам,Суринам
KBTP,KBTP,Butler County - Kenny Scholter Field,Butler County - Kenny Scholter Field,Butler,Butler,США,США
HRYI,HRYI,Butare,Butare,Butare,Butare,Руанда,Руанда
KBTR,KBTR,Ryan,Ryan,Baton Rouge,Baton Rouge,США,США
LZIB,LZIB,M. R. Љtefбnika,M. R. Љtefбnika,Bratislava,Bratislava,Словакия,Словакия
PABT,PABT,Bettles,Bettles,Bettles,Bettles,США,США
WBGB,WBGB,Bintulu,Bintulu,Bintulu,Bintulu,Малайзия,Малайзия
KBTV,KBTV,Burlington International,Burlington International,Burlington,Burlington,США,США
WAOC,WAOC,Batu Licin,Batu Licin,Batu Licin,Batu Licin,Индонезия,Индонезия
YBEO,YBEO,Betoota,Betoota,Betoota,Betoota,Австралия,Австралия
KBTY,KBTY,Beatty,Beatty,Beatty,Beatty,США,США
LTBE,LTBE,Bursa Airport,Bursa Airport,Bursa,Bursa,Турция,Турция
AYBK,AYBK,Buka,Buka,Buka,Buka,Папуа - Новая Гвинея,Папуа - Новая Гвинея
KBUB,KBUB,Municipal,Municipal,Burwell,Burwell,США,США
YBKT,YBKT,Burketown,Burketown,Burketown,Burketown,Австралия,Австралия
LHBP,LHBP,Ferihegy,Ferihegy,Budapest,Budapest,Венгрия,Венгрия
FNBG,FNBG,Gen V Deslandes,Gen V Deslandes,Benguela,Benguela,Ангола,Ангола
WAJB,WAJB,Bokondini,Bokondini,Bokondini,Bokondini,Индонезия,Индонезия
DAAD,DAAD,Ain Eddis,Ain Eddis,Boussaada,Boussaada,Алжир,Алжир
OYBQ,OYBQ,Albuq,Albuq,Albuq,Albuq,Йемен,Йемен
,,Bulolo,Bulolo,Bulolo,Bulolo,Папуа - Новая Гвинея,Папуа - Новая Гвинея
KBUM,KBUM,Butler,Butler,Butler,Butler,США,США
SKBU,SKBU,Buenaventura,Buenaventura,Buenaventura,Buenaventura,Колумбия,Колумбия
HCMV,HCMV,Burao,Burao,Burao,Burao,Эфиопия,Эфиопия
VIBT,VIBT,Bhatinda,Bhatinda,Bhatinda,Bhatinda,Индия,Индия
FVBU,FVBU,Bulawayo,Bulawayo,Bulawayo,Bulawayo,Зимбабве,Зимбабве
KBUR,KBUR,Bob Hope,Bob Hope,Burbank,Burbank,США,США
UGSB,UGSB,Batumi,Batumi,Batumi,Batumi,Грузия,Грузия
,,Burtonwood,Burtonwood,Burtonwood,Burtonwood,Великобритания,Великобритания
,,Buyo,Buyo,Buyo,Buyo,Кот-д-Ивуар,Кот-д-Ивуар
SUBU,SUBU,Bella Union,Bella Union,Bella Union,Bella Union,Уругвай,Уругвай
WAWB,WAWB,Baubau,Baubau,Baubau,Baubau,Индонезия,Индонезия
FZKA,FZKA,Bunia,Bunia,Bunia,Bunia,ДР Конго,ДР Конго
YBUN,YBUN,Bunbury,Bunbury,Bunbury,Bunbury,Австралия,Австралия
OIBB,OIBB,Bushehr,Bushehr,Bushehr,Bushehr,Иран,Иран
LFOB,LFOB,Beauvais-Tille,Beauvais-Tille,Paris,Paris,Франция,Франция
SBBV,SBBV,Boa Vista,Boa Vista,Boa Vista,Boa Vista,Бразилия,Бразилия
GVBA,GVBA,Rabil,Rabil,Boa Vista,Boa Vista,Кабо-Верде,Кабо-Верде
NTAA,NTAA,Sea Port,Sea Port,Beaver Inlet,Beaver Inlet,США,США
LFBV,LFBV,Laroche,Laroche,Brive-La-Gaillarde,Brive-La-Gaillarde,Франция,Франция
NFNU,NFNU,Dama,Dama,Bua,Bua,Фиджи,Фиджи
ENBV,ENBV,Berlevag,Berlevag,Berlevag,Berlevag,Норвегия,Норвегия
SBVH,SBVH,Vilhena,Vilhena,Vilhena,Vilhena,Бразилия,Бразилия
YBDV,YBDV,Birdsville,Birdsville,Birdsville, Queensland,Birdsville, Queensland,Австралия,Австралия
SLHJ,SLHJ,Huacaraje,Huacaraje,Huacaraje,Huacaraje,Боливия,Боливия
SLBU,SLBU,Baures,Baures,Baures,Baures,Боливия,Боливия
SNBL,SNBL,Belmonte,Belmonte,Belmonte,Belmonte,Бразилия,Бразилия
KBVO,KBVO,Bartlesville,Bartlesville,Bartlesville,Bartlesville,США,США
,,Bolovip,Bolovip,Bolovip,Bolovip,Папуа - Новая Гвинея,Папуа - Новая Гвинея
GVBR,GVBR,Esperadinha,Esperadinha,Brava,Brava,США,США
SNVS,SNVS,Breves,Breves,Breves,Breves,Бразилия,Бразилия
PABG,PABG,Beluga,Beluga,Beluga,Beluga,США,США
YBTV,YBTV,Batavia Downs,Batavia Downs,Batavia Downs,Batavia Downs,Австралия,Австралия
KBVX,KBVX,Municipal,Municipal,Batesville,Batesville,США,США
KBVY,KBVY,Beverly Municiple Airport,Beverly Municiple Airport,Beverly,Beverly,США,США
YBYS,YBYS,Beverley Springs,Beverley Springs,Beverley Springs,Beverley Springs,Австралия,Австралия
VNBW,VNBW,Bhairawa,Bhairawa,Bhairawa,Bhairawa,Непал,Непал
YBWX,YBWX,Barrow Island,Barrow Island,Barrow Island,Barrow Island,Австралия,Австралия
KBWC,KBWC,Brawley,Brawley,Brawley,Brawley,США,США
KBWD,KBWD,Brownwood,Brownwood,Brownwood,Brownwood,США,США
EDVE,EDVE,Braunschweig,Braunschweig,Braunschweig,Braunschweig,Германия,Германия
EGNL,EGNL,Walney Island,Walney Island,Barrow-In-Furness,Barrow-In-Furness,Великобритания,Великобритания
KBWG,KBWG,Warren County,Warren County,Bowling Green,Bowling Green,США,США
WMKB,WMKB,Butterworth,Butterworth,Butterworth,Butterworth,Малайзия,Малайзия
KBWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington,Baltimore/Washington,США,США
,,Bawan,Bawan,Bawan,Bawan,Папуа - Новая Гвинея,Папуа - Новая Гвинея
LDSB,LDSB,Bol,Bol,Bol,Bol,Хорватия,Хорватия
KBWL,KBWL,Blackwell,Blackwell,Blackwell,Blackwell,США,США
KBPP,KBPP,Bowman,Bowman,Bowman,Bowman,США,США
WBSB,WBSB,Bandar Seri Begwan International Airport,Bandar Seri Begwan International Airport,Bandar Seri Begawan,Bandar Seri Begawan,Бруней,Бруней
UWSB,UWSB,Balakovo,Balakovo,Balakovo,Balakovo,Россия,Россия
,,Bewani,Bewani,Bewani,Bewani,Папуа - Новая Гвинея,Папуа - Новая Гвинея
YBRW,YBRW,Brewarrina,Brewarrina,Brewarrina,Brewarrina,Австралия,Австралия
KBWS,KBWS,Blaine,Blaine,Blaine,Blaine,США,США
YWYY,YWYY,Burnie Wynyard,Burnie Wynyard,Burnie,Burnie,Австралия,Австралия
YSBK,YSBK,Sydney Bankstown,Sydney Bankstown,Sydney,Sydney,Австралия,Австралия
,,Bentwaters St,Bentwaters St,Woodbridge,Woodbridge,Великобритания,Великобритания
KBXA,KBXA,George R Carr,George R Carr,Bogalusa,Bogalusa,США,США
WASO,WASO,Babo,Babo,Babo,Babo,Индонезия,Индонезия
LEMG,LEMG,Boxborough,Boxborough,Boxborough,Boxborough,США,США
WAKE,WAKE,Bade,Bade,Bade,Bade,Индонезия,Индонезия
GOTB,GOTB,Bakel,Bakel,Bakel,Bakel,Сенегал,Сенегал
VOML,VOML,Belburn,Belburn,Belburn,Belburn,Норвегия,Норвегия
KBXG,KBXG,Bendigo,Bendigo,Bendigo,Bendigo,Австралия,Австралия
UAAH,UAAH,Balhash,Balhash,Balhash,Balhash,Казахстан,Казахстан
DIBI,DIBI,Boundiali,Boundiali,Boundiali,Boundiali,Кот-д-Ивуар,Кот-д-Ивуар
KPBI,KPBI,Burundai,Burundai,Burundai,Burundai,Казахстан,Казахстан
KBXK,KBXK,Buckeye Municipal,Buckeye Municipal,Buckeye,Buckeye,США,США
,,Blue Lagoon,Blue Lagoon,Blue Lagoon,Blue Lagoon,Фиджи,Фиджи
,,Batom,Batom,Batom,Batom,Индонезия,Индонезия
LTBV,LTBV,Imsik Airport,Imsik Airport,Bodrum,Bodrum,Турция,Турция
SNBG,SNBG,Buochs,Buochs,Buochs,Buochs,Гвинея-Бисау,Гвинея-Бисау
OIKM,OIKM,Bam,Bam,Bam,Bam,Иран,Иран
KBXS,KBXS,Borrego Springs,Borrego Springs,Borrego Springs,Borrego Springs,США,США
WRLC,WRLC,Bontang,Bontang,Bontang,Bontang,Индонезия,Индонезия
RPME,RPME,Butuan,Butuan,Butuan,Butuan,Филиппины,Филиппины
BIBV,BIBV,Breiddalsvik,Breiddalsvik,Breiddalsvik,Breiddalsvik,Исландия,Исландия
,,Borama International,Borama International,Borama,Borama,Сомали,Сомали
LEMG,LEMG,Bunsil,Bunsil,Bunsil,Bunsil,Папуа - Новая Гвинея,Папуа - Новая Гвинея
KBYA,KBYA,Boundary,Boundary,Boundary,Boundary,США,США
,,Dibaa,Dibaa,Dibaa,Dibaa,ОАЭ,ОАЭ
SLYA,SLYA,Yacuiba,Yacuiba,Yacuiba,Yacuiba,Боливия,Боливия
OYBI,OYBI,Beidah,Beidah,Beidah,Beidah,Йемен,Йемен
KBYG,KBYG,Municipal,Municipal,Buffalo,Buffalo,США,США
KBYH,KBYH,Blytheville AFB,Blytheville AFB,Blytheville,Blytheville,США,США
KBYI,KBYI,Rupert,Rupert,Rupert,Rupert,США,США
DIBK,DIBK,Bouake,Bouake,Bouake,Bouake,Кот-д-Ивуар,Кот-д-Ивуар
,,Bella Yella,Bella Yella,Bella Yella,Bella Yella,Либерия,Либерия
MUBY,MUBY,C.M. de Cespedes,C.M. de Cespedes,Bayamo,Bayamo,Куба,Куба
ZMBH,ZMBH,Bayankhongor,Bayankhongor,Bayankhongor,Bayankhongor,Монголия,Монголия
,,Bonito Airport,Bonito Airport,Bonito,Bonito,Бразилия,Бразилия
WALV,WALV,Bunyu,Bunyu,Bunyu,Bunyu,Индонезия,Индонезия
EKLS,EKLS,Laeso Airport,Laeso Airport,Laeso Island,Laeso Island,Дания,Дания
KBYS,KBYS,Bicycle Lake AAF,Bicycle Lake AAF,Fort Irwin,Fort Irwin,США,США
EIBN,EIBN,Bantry,Bantry,Bantry,Bantry,Ирландия,Ирландия
EDQD,EDQD,Bindlacher-Berg,Bindlacher-Berg,Bayreuth,Bayreuth,Германия,Германия
KBYW,KBYW,Blakely Island,Blakely Island,Blakely Island,Blakely Island,США,США
,,Baniyala,Baniyala,Baniyala,Baniyala,Австралия,Австралия
MNBZ,MNBZ,San Pedro,San Pedro,Bonanza,Bonanza,Никарагуа,Никарагуа
,,Bazaruto Island,Bazaruto Island,Bazaruto Island,Bazaruto Island,Мозамбик,Мозамбик
SBBZ,SBBZ,Buzios,Buzios,Buzios,Buzios,Бразилия,Бразилия
YBRN,YBRN,Balranald,Balranald,Balranald,Balranald,Австралия,Австралия
MZBZ,MZBZ,Philip S.W.Goldson Int,Philip S.W.Goldson Int,Belize City,Belize City,Белиз,Белиз
EPBY,EPBY,Bydgoszcz I. J. Paderewski Airport,Bydgoszcz I. J. Paderewski Airport,Bydgoszcz,Bydgoszcz,Польша,Польша
,,Bumi Hills,Bumi Hills,Bumi Hills,Bumi Hills,Зимбабве,Зимбабве
LTBF,LTBF,Balikesir,Balikesir,Balikesir,Balikesir,Турция,Турция
UUBP,UUBP,Briansk,Briansk,Briansk,Briansk,Россия,Россия
VGBR,VGBR,Barisal,Barisal,Barisal,Barisal,Бангладеш,Бангладеш
EHWO,EHWO,Woensdrecht,Woensdrecht,Bergen Op Zoom,Bergen Op Zoom,Нидерланды,Нидерланды
KBZN,KBZN,Gallatin Field,Gallatin Field,Bozeman,Bozeman,США,США
LIPB,LIPB,Bolzano,Bolzano,Bolzano,Bolzano,Италия,Италия
YBIZ,YBIZ,Bizant,Bizant,Bizant,Bizant,Австралия,Австралия
LFMU,LFMU,Beziers Vias,Beziers Vias,Beziers,Beziers,Франция,Франция
KBZS,KBZS,Buzzards Pt S,Buzzards Pt S,Washington,Washington,США,США
EGAC,EGAC,Hinkles Ferry,Hinkles Ferry,Brazoria,Brazoria,США,США
FZKJ,FZKJ,Buta,Buta,Buta,Buta,ДР Конго,ДР Конго
FCBB,FCBB,Maya Maya,Maya Maya,Brazzaville,Brazzaville,ДР Конго,ДР Конго
LUBL,LUBL,Beltsy,Beltsy,Beltsy,Beltsy,Молдавия,Молдавия
EGVN,EGVN,Raf Brize Norton,Raf Brize Norton,Oxford,Oxford,Великобритания,Великобритания
MHCA,MHCA,Catacamas,Catacamas,Catacamas,Catacamas,Гондурас,Гондурас
FNCA,FNCA,Cabinda,Cabinda,Cabinda,Cabinda,Ангола,Ангола
SBCA,SBCA,Cascavel,Cascavel,Cascavel,Cascavel,Бразилия,Бразилия
KCAD,KCAD,Cadillac,Cadillac,Cadillac,Cadillac,США,США
KCAE,KCAE,Metropolitan Airport,Metropolitan Airport,Columbia, SC,Columbia, SC,США,США
SWCA,SWCA,Carauari,Carauari,Carauari,Carauari,Бразилия,Бразилия
LIEE,LIEE,Elmas,Elmas,Cagliari,Cagliari,Италия,Италия
VVCM,VVCM,Ca Mau,Ca Mau,Ca Mau,Ca Mau,Вьетнам,Вьетнам
HECA,HECA,Cairo International,Cairo International,Cairo,Cairo,Египет,Египет
SVCN,SVCN,Canaima,Canaima,Canaima,Canaima,Венесуэла,Венесуэла
KCAK,KCAK,Akron/canton Regional,Akron/canton Regional,Akron/Canton, OH,Akron/Canton, OH,США,США
EGEC,EGEC,Machrihanish,Machrihanish,Campbeltown,Campbeltown,Великобритания,Великобритания
SLCA,SLCA,Camiri,Camiri,Camiri,Camiri,Боливия,Боливия
ZGGG,ZGGG,New Baiyun,New Baiyun,Guangzhou,Guangzhou,Китай,Китай
KCAO,KCAO,Clayton,Clayton,Clayton,Clayton,США,США
MTCH,MTCH,Cap Haitien,Cap Haitien,Cap Haitien,Cap Haitien,Гаити,Гаити
SKCU,SKCU,Caucasia,Caucasia,Caucasia,Caucasia,Колумбия,Колумбия
KCAR,KCAR,Municipal,Municipal,Caribou,Caribou,США,США
GMMC,GMMC,Anfa,Anfa,Casablanca,Casablanca,Марокко,Марокко
MYCB,MYCB,New Bight,New Bight,Cat Island,Cat Island,Багамские острова,Багамские острова
SNRU,SNRU,Caruaru,Caruaru,Caruaru,Caruaru,Бразилия,Бразилия
FNCZ,FNCZ,Cazombo,Cazombo,Cazombo,Cazombo,Ангола,Ангола
SBCP,SBCP,Bartolomeu Lisandro,Bartolomeu Lisandro,Campos,Campos,Бразилия,Бразилия
EGNC,EGNC,Carlisle,Carlisle,Carlisle,Carlisle,Великобритания,Великобритания
SOCA,SOCA,Rochambeau,Rochambeau,Cayenne,Cayenne,Франция,Франция
YCBA,YCBA,Cobar,Cobar,Cobar,Cobar,Австралия,Австралия
MMVA,MMVA,Corner Bay,Corner Bay,Corner Bay,Corner Bay,США,США
SLCB,SLCB,J Wilsterman,J Wilsterman,Cochabamba,Cochabamba,Боливия,Боливия
,,Cherrabun,Cherrabun,Cherrabun,Cherrabun,Австралия,Австралия
VOCX,VOCX,Car Nicobar,Car Nicobar,Car Nicobar,Car Nicobar,Индия,Индия
KCBE,KCBE,Wiley Ford,Wiley Ford,Cumberland,Cumberland,США,США
KCBF,KCBF,Municipal,Municipal,Council Bluffs,Council Bluffs,США,США
EGSC,EGSC,Cambridge,Cambridge,Cambridge,Cambridge,Великобритания,Великобритания
DAOR,DAOR,Leger,Leger,Bechar,Bechar,Алжир,Алжир
YCBN,YCBN,Cape Barren Island,Cape Barren Island,Cape Barren Island,Cape Barren Island,Австралия,Австралия
MDCR,MDCR,Cabo Rojo,Cabo Rojo,Cabo Rojo,Cabo Rojo,Доминиканская Республика,Доминиканская Республика
KCBK,KCBK,Municipal,Municipal,Colby,Colby,США,США
SVCB,SVCB,Ciudad Bolivar,Ciudad Bolivar,Ciudad Bolivar,Ciudad Bolivar,Венесуэла,Венесуэла
KCBM,KCBM,Columbus AFB,Columbus AFB,Columbus,Columbus,США,США
WICD,WICD,Penggung,Penggung,Cirebon,Cirebon,Индонезия,Индонезия
RPMC,RPMC,Awang,Awang,Cotabato,Cotabato,Филиппины,Филиппины
LPCO,LPCO,Coimbra,Coimbra,Coimbra,Coimbra,Португалия,Португалия
DNCA,DNCA,Calabar,Calabar,Calabar,Calabar,Нигерия,Нигерия
YSCB,YSCB,Canberra,Canberra,Canberra,Canberra,Австралия,Австралия
SVON,SVON,Oro Negro,Oro Negro,Cabimas,Cabimas,Венесуэла,Венесуэла
FNCT,FNCT,Catumbela,Catumbela,Catumbela,Catumbela,Ангола,Ангола
EDCD,EDCD,Cottbus,Cottbus,Cottbus,Cottbus,Германия,Германия
MGCB,MGCB,Coban,Coban,Coban,Coban,Гватемала,Гватемала
SSKM,SSKM,Campo Mourao,Campo Mourao,Campo Mourao,Campo Mourao,Бразилия,Бразилия
YCDO,YCDO,Condobolin,Condobolin,Condobolin,Condobolin,Австралия,Австралия
YCBE,YCBE,Canobie,Canobie,Canobie,Canobie,Австралия,Австралия
SPIM,SPIM,Cabin Creek,Cabin Creek,Cabin Creek,Cabin Creek,США,США
KCCA,KCCA,Chaffee AFB,Chaffee AFB,Fort Chaffee,Fort Chaffee,Гаити,Гаити
KCCB,KCCB,Cable Airport,Cable Airport,Upland, CA,Upland, CA,США,США
MUOC,MUOC,Cayo Coco,Cayo Coco,Cayo Coco,Cayo Coco,Куба,Куба
,,Century City,Century City,Los Angeles,Los Angeles,США,США
TFFG,TFFG,Grand Case,Grand Case,St Martin,St Martin,Гваделупа,Гваделупа
LFMK,LFMK,Salvaza,Salvaza,Carcassonne,Carcassonne,Франция,Франция
KCCG,KCCG,Crane County Arpt,Crane County Arpt,Crane,Crane,США,США
SCCC,SCCC,Chile Chico,Chile Chico,Chile Chico,Chile Chico,Чили,Чили
SSCK,SSCK,Concordia,Concordia,Concordia,Concordia,Бразилия,Бразилия
VOCL,VOCL,Kozhikode Airport,Kozhikode Airport,Kozhikode,Kozhikode,Индия,Индия
YPCC,YPCC,Cocos Islands,Cocos Islands,Cocos Islands,Cocos Islands,Австралия,Австралия
YCCA,YCCA,Chinchilla,Chinchilla,Chinchilla,Chinchilla,Австралия,Австралия
SBCM,SBCM,Criciuma,Criciuma,Criciuma,Criciuma,Бразилия,Бразилия
OACC,OACC,Chakcharan,Chakcharan,Chakcharan,Chakcharan,Афганистан,Афганистан
SKCI,SKCI,Carimagua,Carimagua,Carimagua,Carimagua,Колумбия,Колумбия
SCIE,SCIE,Carriel Sur,Carriel Sur,Concepcion,Concepcion,Чили,Чили
,,Cachoeira,Cachoeira,Cachoeira,Cachoeira,Бразилия,Бразилия
KCCR,KCCR,Buchanan Fld,Buchanan Fld,Concord,Concord,США,США
SVMI,SVMI,Simon Bolivar International Airport,Simon Bolivar International Airport,Caracas,Caracas,Венесуэла,Венесуэла
,,Colonia Catriel,Colonia Catriel,Colonia Catriel,Colonia Catriel,Аргентина,Аргентина
VECC,VECC,Netaji Subhas Chandra,Netaji Subhas Chandra,Kolkata,Kolkata,Индия,Индия
NVSF,NVSF,Craig Cove,Craig Cove,Craig Cove,Craig Cove,Вануату,Вануату
YCWL,YCWL,Cowell,Cowell,Cowell,Cowell,Австралия,Австралия
SWKC,SWKC,Caceres,Caceres,Caceres,Caceres,Бразилия,Бразилия
KCCY,KCCY,Municipal,Municipal,Charles City,Charles City,США,США
MYBC,MYBC,Chub Cay,Chub Cay,Chub Cay,Chub Cay,Багамские острова,Багамские острова
YCOO,YCOO,Cooinda,Cooinda,Cooinda,Cooinda,Австралия,Австралия
PACD,PACD,Cold Bay,Cold Bay,Cold Bay,Cold Bay,США,США
KCDC,KCDC,Cedar City,Cedar City,Cedar City,Cedar City,США,США
,,Cauquira,Cauquira,Cauquira,Cauquira,Гондурас,Гондурас
,,Caledonia,Caledonia,Caledonia,Caledonia,Панама,Панама
LFPG,LFPG,Charles De Gaulle,Charles De Gaulle,Paris,Paris,Франция,Франция
KCDH,KCDH,Harrell Fld,Harrell Fld,Camden,Camden,США,США
MMCD,MMCD,Cachoeiro Itapemirim,Cachoeiro Itapemirim,Cachoeiro Itapemirim,Cachoeiro Itapemirim,Бразилия,Бразилия
SBAA,SBAA,Conceicao Do Araguaia,Conceicao Do Araguaia,Conceicao Do Araguaia,Conceicao Do Araguaia,Бразилия,Бразилия
KCDK,KCDK,Lewis,Lewis,Cedar Key,Cedar Key,США,США
KCDL,KCDL,Candle,Candle,Candle,Candle,США,США
KCDN,KCDN,Woodward Fld,Woodward Fld,Camden,Camden,США,США
FACD,FACD,Cradock,Cradock,Cradock,Cradock,ЮАР,ЮАР
VOCP,VOCP,Cuddapah,Cuddapah,Cuddapah,Cuddapah,Индия,Индия
YCRY,YCRY,Croydon,Croydon,Croydon,Croydon,Австралия,Австралия
KCDR,KCDR,Chadron,Chadron,Chadron,Chadron,США,США
KCDS,KCDS,Childress,Childress,Childress,Childress,США,США
YSCN,YSCN,Camden,Camden,Camden,Camden,Австралия,Австралия
PACV,PACV,Mudhole Smith,Mudhole Smith,Cordova,Cordova,США,США
KCDW,KCDW,Caldwell Wright,Caldwell Wright,Caldwell, NJ,Caldwell, NJ,США,США
RPMU,RPMU,Cagayan De Sulu,Cagayan De Sulu,Cagayan De Sulu,Cagayan De Sulu,Филиппины,Филиппины
,,Cadiz,Cadiz,Cadiz,Cadiz,Испания,Испания
KCEA,KCEA,Cessna Aircraft Field,Cessna Aircraft Field,Wichita,Wichita,США,США
RPVM,RPVM,Mactan-Cebu International,Mactan-Cebu International,Cebu,Cebu,Филиппины,Филиппины
KCEC,KCEC,Mc Namara Fld,Mc Namara Fld,Crescent City,Crescent City,США,США
YCDU,YCDU,Ceduna,Ceduna,Ceduna,Ceduna,Австралия,Австралия
ULBC,ULBC,Cherepovets,Cherepovets,Cherepovets,Cherepovets,Россия,Россия
KCEF,KCEF,Westover Metro Arpt,Westover Metro Arpt,Springfield,Springfield,США,США
EGNR,EGNR,Chester,Chester,Chester,Chester,Великобритания,Великобритания
ZBCD,ZBCD,Chelinda,Chelinda,Chelinda,Chelinda,Малави,Малави
VTCT,VTCT,Chiang Rai,Chiang Rai,Chiang Rai,Chiang Rai,Таиланд,Таиланд
UKKL,UKKL,Chernigov,Chernigov,Chernigov,Chernigov,Украина,Украина
USCC,USCC,Chelyabinsk,Chelyabinsk,Chelyabinsk,Chelyabinsk,Россия,Россия
MYEC,MYEC,Cape Eleuthera,Cape Eleuthera,Cape Eleuthera,Cape Eleuthera,Багамские острова,Багамские острова
PACE,PACE,Central,Central,Central,Central,США,США
MMCN,MMCN,Ciudad Obregon,Ciudad Obregon,Ciudad Obregon,Ciudad Obregon,Мексика,Мексика
FNWK,FNWK,Waco Kungo,Waco Kungo,Waco Kungo,Waco Kungo,Ангола,Ангола
SLCP,SLCP,Concepcion,Concepcion,Concepcion,Concepcion,Боливия,Боливия
LFMD,LFMD,Mandelieu,Mandelieu,Cannes,Cannes,Франция,Франция
LFRC,LFRC,Maupertus,Maupertus,Cherbourg,Cherbourg,Франция,Франция
YCNK,YCNK,Cessnock,Cessnock,Cessnock,Cessnock,Австралия,Австралия
LFOU,LFOU,Le Pontreau,Le Pontreau,Cholet,Cholet,Франция,Франция
KCEU,KCEU,Oconee County,Oconee County,Clemson,Clemson,США,США
KCEV,KCEV,Mettle Field,Mettle Field,Connersville,Connersville,США,США
KCEW,KCEW,Bob Sikes,Bob Sikes,Crestview,Crestview,США,США
KCEX,KCEX,Chena Hot Springs,Chena Hot Springs,Chena Hot Springs,Chena Hot Springs,США,США
KCEY,KCEY,Calloway County,Calloway County,Murray,Murray,США,США
KCEZ,KCEZ,Montezuma County,Montezuma County,Cortez,Cortez,США,США
EDAL,EDAL,Coffee Point,Coffee Point,Coffee Point,Coffee Point,США,США
SBCB,SBCB,Cabo Frio,Cabo Frio,Cabo Frio,Cabo Frio,Бразилия,Бразилия
SPIM,SPIM,Cacador,Cacador,Cacador,Cacador,Бразилия,Бразилия
KCFD,KCFD,Coulter Field,Coulter Field,Bryan,Bryan,Ямайка,Ямайка
LFLC,LFLC,Aulnat,Aulnat,Clermont-Ferrand,Clermont-Ferrand,Франция,Франция
FNCF,FNCF,Cafunfo,Cafunfo,Cafunfo,Cafunfo,Ангола,Ангола
MUCF,MUCF,Cienfuegos,Cienfuegos,Cienfuegos,Cienfuegos,Куба,Куба
YCFH,YCFH,Clifton Hills,Clifton Hills,Clifton Hills,Clifton Hills,Австралия,Австралия
,,Camfield,Camfield,Camfield,Camfield,Австралия,Австралия
PACK,PACK,Chefornak,Chefornak,Chefornak, AK,Chefornak, AK,США,США
EIDL,EIDL,Donegal,Donegal,Carrickfinn,Carrickfinn,Ирландия,Ирландия
,,Confreza,Confreza,Confreza,Confreza,Бразилия,Бразилия
YCPN,YCPN,Carpentaria Downs,Carpentaria Downs,Carpentaria Downs,Carpentaria Downs,Австралия,Австралия
SBCH,SBCH,Creston Valley Airport,Creston Valley Airport,Creston,Creston,Канада,Канада
LFRK,LFRK,Carpiquet,Carpiquet,Caen,Caen,Франция,Франция
YSCH,YSCH,Coffs Harbour,Coffs Harbour,Coffs Harbour,Coffs Harbour,Австралия,Австралия
KCFT,KCFT,Morenci,Morenci,Clifton,Clifton,США,США
LGKR,LGKR,Ioannis Kapodistrias,Ioannis Kapodistrias,Kerkyra,Kerkyra,Греция,Греция
KCFV,KCFV,Municipal,Municipal,Coffeyville,Coffeyville,США,США
KCGA,KCGA,Craig SPB,Craig SPB,Craig,Craig,США,США
SBCY,SBCY,Intl. Airpt. Marechal Rondon,Intl. Airpt. Marechal Rondon,Cuiaba,Cuiaba,Бразилия,Бразилия
,,Cape Gloucester,Cape Gloucester,Cape Gloucester,Cape Gloucester,Папуа - Новая Гвинея,Папуа - Новая Гвинея
ZGCD,ZGCD,Changde,Changde,Changde,Changde,Китай,Китай
KCGE,KCGE,Cambridge,Cambridge,Cambridge,Cambridge,США,США
KCGF,KCGF,Cuyahoga County,Cuyahoga County,Cleveland,Cleveland,США,США
,,Casiguran,Casiguran,Casiguran,Casiguran,Филиппины,Филиппины
SBSP,SBSP,Congonhas,Congonhas,Sao Paulo,Sao Paulo,Бразилия,Бразилия
KCGI,KCGI,Cape Girardeau,Cape Girardeau,Cape Girardeau,Cape Girardeau,США,США
,,Chingola,Chingola,Chingola,Chingola,Замбия,Замбия
RPMH,RPMH,Mambajao,Mambajao,Camiguin,Camiguin,Филиппины,Филиппины
EDDK,EDDK,Cologne/bonn,Cologne/bonn,Cologne,Cologne,Германия,Германия
ZHCC,ZHCC,Zhengzhou,Zhengzhou,Zhengzhou,Zhengzhou,Китай,Китай
VGEG,VGEG,Patenga,Patenga,Chittagong,Chittagong,Бангладеш,Бангладеш
ZYCC,ZYCC,Changchun,Changchun,Changchun,Changchun,Китай,Китай
